Timestamp,ax,ay,az,qw,qx,qy,qz
23477011,0.68,-9.60,0.25,0.09,-0.04,-0.69,0.71
23557011,0.72,-9.61,0.40,0.09,-0.04,-0.69,0.71
23637011,0.72,-9.56,0.32,0.09,-0.04,-0.70,0.71
23727011,0.68,-9.57,0.17,0.09,-0.04,-0.70,0.71
23807011,0.68,-9.68,0.09,0.09,-0.04,-0.70,0.71
23887011,0.80,-9.60,0.09,0.09,-0.04,-0.71,0.70
23967011,0.53,-9.87,-0.29,0.09,-0.04,-0.71,0.70
24057011,0.72,-9.68,-0.21,0.09,-0.04,-0.71,0.70
24137011,0.68,-9.60,-0.25,0.09,-0.04,-0.71,0.70
24222011,0.72,-9.64,-0.10,0.09,-0.04,-0.71,0.70
24312011,0.76,-9.57,-0.21,0.09,-0.04,-0.71,0.70
24387011,0.68,-9.56,-0.25,0.09,-0.04,-0.71,0.70
24472011,0.76,-9.60,-0.10,0.09,-0.04,-0.71,0.70
24552011,0.68,-9.68,-0.21,0.09,-0.04,-0.71,0.70
24642011,0.68,-9.56,-0.06,0.09,-0.04,-0.71,0.70
24727011,0.64,-9.64,-0.21,0.09,-0.04,-0.71,0.70
24807011,0.68,-9.72,0.21,0.09,-0.04,-0.70,0.71
24897011,0.64,-9.64,0.21,0.09,-0.04,-0.70,0.71
24977011,0.68,-9.61,0.17,0.09,-0.04,-0.70,0.71
25062011,0.64,-9.64,0.17,0.09,-0.04,-0.70,0.71
25152011,0.57,-9.56,0.06,0.09,-0.04,-0.70,0.71
25232011,0.61,-9.60,0.06,0.09,-0.04,-0.70,0.71
25312011,0.61,-9.68,0.21,0.09,-0.04,-0.70,0.71
25387011,0.61,-9.56,-0.02,0.09,-0.04,-0.70,0.70
25462011,0.64,-9.64,-0.10,0.09,-0.04,-0.71,0.70
25558095,0.61,-9.64,0.02,0.09,-0.04,-0.71,0.70
25642011,0.61,-9.60,0.06,0.09,-0.04,-0.70,0.70
25737011,0.64,-9.64,0.02,0.09,-0.04,-0.70,0.70
25822011,0.57,-9.64,0.02,0.09,-0.04,-0.70,0.70
25902011,0.68,-9.64,0.06,0.09,-0.04,-0.70,0.70
25987011,0.64,-9.61,0.02,0.09,-0.04,-0.70,0.70
26072011,0.72,-9.61,0.09,0.09,-0.04,-0.70,0.70
26162011,0.64,-9.64,0.02,0.09,-0.04,-0.71,0.70
26247011,0.64,-9.57,-0.02,0.09,-0.04,-0.71,0.70
26332011,0.61,-9.68,0.02,0.09,-0.04,-0.70,0.70
26422011,0.68,-9.49,-0.06,0.09,-0.04,-0.70,0.70
26497011,0.84,-10.63,0.75,0.08,-0.04,-0.70,0.70
26582011,0.80,-9.10,0.21,0.08,-0.04,-0.70,0.71
26662011,0.22,-9.57,0.17,0.08,-0.05,-0.69,0.71
26747011,0.45,-9.11,-0.21,0.08,-0.04,-0.70,0.71
26827011,0.14,-10.21,-1.02,0.08,-0.06,-0.71,0.70
26907011,-0.12,-8.57,-1.48,0.09,-0.07,-0.72,0.69
26987011,0.11,-10.98,-0.44,0.06,-0.05,-0.72,0.68
27077011,0.14,-8.99,-0.52,0.06,-0.06,-0.73,0.68
27152011,0.03,-9.72,-0.90,0.05,-0.07,-0.74,0.67
27237011,-0.39,-9.45,-1.36,0.05,-0.07,-0.75,0.66
27337337,-0.05,-7.57,-3.31,0.04,-0.07,-0.77,0.64
27407011,-0.16,-9.45,-3.39,0.04,-0.07,-0.81,0.58
27492011,0.18,-8.76,-3.77,0.05,-0.06,-0.83,0.55
27572011,0.49,-8.22,-4.88,0.05,-0.06,-0.85,0.53
27667011,0.64,-8.68,-5.07,0.07,-0.06,-0.88,0.47
27737011,0.84,-7.15,-5.42,0.08,-0.07,-0.89,0.44
27817011,0.76,-7.19,-6.26,0.08,-0.07,-0.91,0.40
27897011,0.68,-6.73,-7.26,0.07,-0.07,-0.92,0.38
27967011,1.14,-6.57,-6.91,0.07,-0.06,-0.93,0.35
28042011,0.76,-6.77,-8.06,0.06,-0.05,-0.95,0.31
28132011,0.37,-5.12,-9.10,0.05,-0.05,-0.96,0.27
28202011,0.87,-3.62,-9.37,0.05,-0.05,-0.97,0.23
28282011,0.26,-3.59,-9.71,0.03,-0.05,-0.98,0.19
28357011,0.11,-3.28,-9.41,0.02,-0.05,-0.99,0.14
28437011,0.64,-2.48,-8.79,0.01,-0.04,-0.99,0.11
28512011,0.34,-1.14,-9.98,0.02,-0.04,-0.99,0.10
28587011,0.07,-1.48,-10.18,0.02,-0.03,-1.00,0.07
28682011,0.30,-0.22,-9.63,0.01,-0.03,-1.00,0.04
28762011,0.41,0.20,-9.21,0.00,-0.03,-1.00,0.01
28847011,0.11,0.17,-9.71,0.00,0.03,1.00,0.00
28927011,-0.12,0.13,-10.09,0.00,0.02,1.00,0.02
29007011,-0.09,0.66,-9.90,0.00,0.02,1.00,0.03
29087011,0.07,1.01,-9.68,0.00,0.02,1.00,0.05
29167011,-0.09,0.89,-9.44,0.01,-0.02,-1.00,-0.07
29247011,0.30,1.43,-10.48,0.02,-0.02,-1.00,-0.08
29332011,0.34,2.00,-10.52,0.01,-0.03,-1.00,-0.08
29417011,0.22,1.32,-9.14,0.00,0.03,1.00,0.07
29502011,-0.09,0.86,-9.41,0.00,0.03,1.00,0.08
29582011,0.49,2.16,-9.68,0.01,-0.03,-1.00,-0.08
29672011,0.34,1.47,-10.20,0.02,-0.04,-1.00,-0.08
29757011,0.22,0.93,-10.06,0.02,-0.05,-1.00,-0.07
29847011,0.49,1.36,-9.79,0.01,-0.06,-1.00,-0.06
29922011,0.45,1.36,-10.29,0.01,-0.07,-1.00,-0.04
30007011,0.11,0.39,-9.86,0.01,-0.07,-1.00,-0.04
30092011,-0.01,0.36,-9.90,0.00,-0.07,-1.00,-0.03
30172011,0.03,0.66,-9.98,0.00,-0.07,-1.00,-0.02
30252011,0.26,0.70,-10.06,0.00,-0.07,-1.00,-0.02
30332011,0.34,1.74,-9.94,0.00,-0.07,-1.00,-0.02
30422323,0.14,0.43,-9.52,0.00,-0.07,-1.00,-0.02
30507011,0.34,0.55,-9.60,0.01,-0.07,-1.00,-0.02
30592011,0.41,0.43,-10.14,0.01,-0.07,-1.00,-0.02
30677011,0.30,0.55,-10.56,0.02,-0.08,-1.00,-0.02
30762011,0.26,0.55,-10.75,0.02,-0.08,-1.00,-0.03
30837011,0.37,0.55,-10.05,0.02,-0.08,-1.00,-0.03
30917011,0.57,0.59,-9.56,0.02,-0.08,-1.00,-0.03
31002011,0.45,0.70,-10.32,0.02,-0.08,-1.00,-0.03
31087011,0.53,0.66,-9.94,0.02,-0.08,-1.00,-0.03
31167011,0.41,0.55,-9.82,0.01,-0.08,-1.00,-0.03
31247011,0.22,0.51,-9.90,0.02,-0.08,-1.00,-0.03
31332011,0.37,0.59,-10.10,0.02,-0.08,-1.00,-0.03
31417011,0.37,0.43,-9.86,0.01,-0.08,-1.00,-0.03
